id,name,passport_no,birth_date,driving_permit_since
77,Mihaela Rusu,860237324,1982-09-24,1992-04-21
78,Elena Gheorghe,849834789,1990-10-03,1991-12-16
79,Mihaela Ionescu,430191263,1995-03-25,1996-09-09
80,Nicolae Stoica,088601641,1997-07-05,1999-05-11
81,Alexandra Gheorghe,433184535,1986-02-24,1998-05-30
82,Andreea Stoica,208855902,1994-01-21,1995-12-23
83,Ana Dumitru,123793323,1984-12-19,1996-05-31
84,Ana Gheorghe,271908957,1994-08-25,1997-12-17
85,Mihaela Stoica,827785142,1981-04-14,1986-03-21
86,Daniela Matei,546030535,1996-10-11,1997-11-06
87,Mihaela Stan,240598025,1986-11-01,1994-07-21
88,Gheorghe Ciobanu,030035105,1995-01-31,1995-06-05
89,Ioana Dumitru,625425660,1985-11-09,1995-12-04
90,Ioana Stoica,709166208,1992-12-21,1998-12-06
91,Ion Rusu,215323028,1995-11-06,1998-09-23
92,Alexandru Radu,197299045,1990-08-01,1997-04-14
93,Ana Popescu,715427385,1995-01-14,1995-03-29
94,Alexandru Matei,760484870,1988-07-28,1994-08-16
95,Mariana Rusu,076165700,1993-05-20,1996-04-28
96,Dumitru Popescu,438856431,1986-09-12,1999-10-01
97,Alexandra Gheorghe,852250909,1986-06-11,1999-08-03
98,Ion Gheorghe,457696202,1989-02-23,1992-05-30
99,Alexandra Popescu,507493186,1990-11-29,1992-04-27
100,Dumitru Dumitru,129188966,1992-11-16,1994-10-12
